date,country,cases,deaths,population,gdp,density_per_sqr_km
2020-01-31,Austria,0,0,8877067.0,50137.6627762476,107.131858943286
2020-02-01,Austria,0,0,8877067.0,50137.6627762476,107.131858943286
2020-02-02,Austria,0,0,8877067.0,50137.6627762476,107.131858943286
2020-02-03,Austria,0,0,8877067.0,50137.6627762476,107.131858943286
2020-02-04,Austria,0,0,8877067.0,50137.6627762476,107.131858943286
2020-02-05,Austria,0,0,8877067.0,50137.6627762476,107.131858943286
2020-02-06,Austria,0,0,8877067.0,50137.6627762476,107.131858943286
2020-02-07,Austria,0,0,8877067.0,50137.6627762476,107.131858943286
2020-02-08,Austria,0,0,8877067.0,50137.6627762476,107.131858943286
2020-02-09,Austria,0,0,8877067.0,50137.6627762476,107.131858943286
2020-02-10,Austria,0,0,8877067.0,50137.6627762476,107.131858943286
2020-02-11,Austria,0,0,8877067.0,50137.6627762476,107.131858943286
2020-02-12,Austria,0,0,8877067.0,50137.6627762476,107.131858943286
2020-02-13,Austria,0,0,8877067.0,50137.6627762476,107.131858943286
2020-02-14,Austria,0,0,8877067.0,50137.6627762476,107.131858943286
2020-02-15,Austria,0,0,8877067.0,50137.6627762476,107.131858943286
2020-02-16,Austria,0,0,8877067.0,50137.6627762476,107.131858943286
2020-02-17,Austria,0,0,8877067.0,50137.6627762476,107.131858943286
2020-02-18,Austria,0,0,8877067.0,50137.6627762476,107.131858943286
2020-02-19,Austria,0,0,8877067.0,50137.6627762476,107.131858943286
2020-02-20,Austria,0,0,8877067.0,50137.6627762476,107.131858943286
2020-02-21,Austria,0,0,8877067.0,50137.6627762476,107.131858943286
2020-02-22,Austria,0,0,8877067.0,50137.6627762476,107.131858943286
2020-02-23,Austria,0,0,8877067.0,50137.6627762476,107.131858943286
2020-02-24,Austria,0,0,8877067.0,50137.6627762476,107.131858943286
2020-02-25,Austria,0,0,8877067.0,50137.6627762476,107.131858943286
2020-02-26,Austria,2,0,8877067.0,50137.6627762476,107.131858943286
